,date,id,name,layer,parent,fb,title
0,0,17284678,ling kh,0,0,0,title
0,0,17284678,rajandream ma,0,0,0,title
0,0,17284678,rivailler p,0,0,0,title
0,0,17284678,ivens a,0,0,0,title
0,0,17284678,yap sj,0,0,0,title
0,0,17284678,madeira am,0,0,0,title
0,0,17284678,mungall k,0,0,0,title
0,0,17284678,billington k,0,0,0,title
0,0,17284678,yee wy,0,0,0,title
0,0,17284678,bankier at,0,0,0,title
0,0,17284678,carroll f,0,0,0,title
0,0,17284678,durham am,0,0,0,title
0,0,17284678,peters n,0,0,0,title
0,0,17284678,loo ss,0,0,0,title
0,0,17284678,isa mn,0,0,0,title
0,0,17284678,novaes j,0,0,0,title
0,0,17284678,quail m,0,0,0,title
0,0,17284678,rosli r,0,0,0,title
0,0,17284678,nor shamsudin m,0,0,0,title
0,0,17284678,sobreira tj,0,0,0,title
0,0,17284678,tivey ar,0,0,0,title
0,0,17284678,wai sf,0,0,0,title
0,0,17284678,white s,0,0,0,title
0,0,17284678,wu x,0,0,0,title
0,0,17284678,kerhornou a,0,0,0,title
0,0,17284678,blake d,0,0,0,title
0,0,17284678,mohamed r,0,0,0,title
0,0,17284678,shirley m,0,0,0,title
0,0,17284678,gruber a,0,0,0,title
0,0,17284678,berriman m,0,0,0,title
0,0,17284678,tomley f,0,0,0,title
0,0,17284678,dear ph,0,0,0,title
0,0,17284678,wan kl,0,0,0,title
0,0,22457711,rieux a,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,gras s,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,lecaille f,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,niepceron a,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,katrib m,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
